Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
IEEE Standard for Motor Vehicle Event Data Recorders (MVEDRs) Amendment 1: MVEDR Connector Lockout Apparatus (MVEDRCLA),,,IEEE Std 1616a,20100513,2010,,,1,17,This amendment adds information pertaining to motor vehicle event data recorder connector lockout apparatus (MVEDRCLA) by revision.,,,10.1109/IEEESTD.2010.5464498,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5464498,EEPROM;EEPROM data;OBD2 or OBDII;SAE J1962 connectors;communication equipment;crash data;crash data recorder (CDR);data transfer;data transmission;diagnostic link connector (DLC);diagnostic programs;diagnostic testing;electronic control unit (ECU);electronic equipment and components;electronic scan tools;event data recorder (EDR);information exchange;litigation;nonvolatile memory;nonvolatile memory data;odometer clocking;odometer fraud;odometer spun;odometer tampering;onboard network data security;power control module (PCM) and/or electronic control unit (ECU) flashing;road vehicle components;road vehicleengineering;road vehicles;vehicle components;vehicle crash data;vehicle identification number (VIN) tampering and/or theft,Connectors;Diagnostic expert systems;IEEE standards;Nonvolatile memory;Road vehicles;Vehicle crash testing,IEEE standards;automotive electronics;data recording;road vehicles,IEEE standard;MVEDRCLA;connector lockout apparatus;motor vehicle event data recorders,,0,4,36,,,,May 7 2010,,IEEE,IEEE Standards
IEEE Standard for Motor Vehicle Event Data Recorders (MVEDRs),,,IEEE Std 1616-2004,20050321,2005,,,0_1,163,"A performance standard for MVEDR data collection, storage, and retrieval, to ensure that comparable event data parameters are generated by all vehicles, is described",,,10.1109/IEEESTD.2005.95756,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1408446,,,,,,0,,14,,,,2005,,IEEE,IEEE Standards
IEEE Standard for Multiplexed High-Performance Bus Structure: VSB,,,ANSI/IEEE Std 1096-1988,20020806,1989,,,0_1,,"The Subsystem Bus of the IEC 821 BUS is a local subsystem extension bus. It allows a processor board to access additional memory and I/O over a local bus, removing traffic from the global bus and improving the total throughput of the system.<<ETX>>",,,10.1109/IEEESTD.1989.94738,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89819,,Computer interfaces;Standards,computer interfaces;standards,I/O;IEC 821 BUS;IEEE standard;Subsystem Bus;additional memory;global bus;local subsystem extension bus;multiplexed high performance bus structure;processor board;throughput;traffic removal,,0,,2,,,,1989,,IEEE,IEEE Standards
IEEE Standard for N Times 64 Kilobit Per Second Optical Fiber Interfaces Between Teleprotection and Multiplexer Equipment,,,IEEE Std C37.94-2002,20030422,2003,,,0_1,,"An optical interface for use between teleprotection and digital multiplexer equipment that can operate at a data rate of N times 64 kilobit per second where N = 1, 2... 12 is described. Requirements for both physical connection and the communications timing are also included.",,,10.1109/IEEESTD.2003.94245,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1195295,,Communication standards;Communication system reliability;IEEE standards;Optical fiber communication,IEEE standards;multiplexing equipment;optical fibre communication;telecommunication network reliability;telecommunication standards,IEEE Std C37.94/spl trade/-2002;IEEE standard;alarm indication signal;bit error rate;communications timing;cyclic redundancy check;digital multiplexer equipment;loss of frame;loss of signal;multimode optical fiber;multiplexer equipment;optical fiber interfaces;optical interface;physical connection;remote defect indication;teleprotection;teleprotection equipment;unit interval,,1,,1,,,,2003,,IEEE,IEEE Standards
IEEE Standard for Optical Port Communication Protocol to Complement the Utility Industry End Device Data Tables,,,IEEE Std 1701-2011,20110217,2011,,,1,50,"This standard provides multi-source and ""plug and play"" environment for the millions of metering devices in the field now and the future using the ANSI Type 2 optical port interface. It solves the problems associated with single source systems and with multi-source systems based upon proprietary communications protocols. Electric, water, and gas utilities and corresponding vendors can realize cost savings which ultimately shall benefit the client consumers of the utilities.",,,10.1109/IEEESTD.2011.5716536,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5716536,ANSI C12.18;ANSI Type II;Optical Port;PSEM,Data systems;Electricity supply industry;IEEE standards;Optical fiber communication;Protocols,IEEE standards;metering;optical communication;protocols,ANSI C12.18;ANSI type 2 optical port interface;IEEE Std 1701-2011;end device data tables;metering devices;optical port communication protocol;plug and play;proprietary communications protocols,,0,,6,,,,Feb. 15 2011,,IEEE,IEEE Standards
IEEE Standard for Organizational Reliability Capability,,,IEEE Std 1624-2008,20090206,2009,,,C1,24,Organizational reliability capability and the identification of the criteria for assessing the reliability capability of an organization are defined.,,,10.1109/IEEESTD.2009.4777811,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4777811,"assessment, organizational reliability capability, reliability capability, reliability management, reliability program, supply chain",,organisational aspects;reliability,IEEE Std 1624-2008;organizational reliability capability;reliability management;reliability program;supply chain,,0,,24,,,,Feb. 5 2009,,IEEE,IEEE Standards
IEEE Standard for Pad Mounted Equipment - Enclosure Integrity for Coastal Environments,,,IEEE Std C57.12.29-2005,20051121,2005,,,1,28,"Covered in this standard are conformance tests and requirements for the integrity of above-grade pad-mounted enclosures for application in coastal environments that contain apparatus energized in excess of 600 V and that may be exposed to the public including, but not limited to, the following types of equipment enclosures: pad-mounted capacitors or inductors, padmounted distribution transformers, pad-mounted junction enclosures, pad-mounted metering equipment, pad-mounted switch gear",,,10.1109/IEEESTD.2005.97892,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1542611,enclosure integrity;pad-mounted equipment;switches;transformers,,IEEE standards;packaging;power apparatus,capacitors;coastal environments;conformance tests;distribution transformers;enclosure integrity;inductors;junction enclosures;metering equipment;pad-mounted equipment;switch gear,,0,,9,,,,Nov. 10 2005,,IEEE,IEEE Standards
IEEE Standard for Pad-Mounted Equipment - Enclosure Integrity,,,IEEE Std C57.12.28-2005,20051017,2005,,,1,26,"Conformance tests and requirements for the integrity of above-grade pad-mountedenclosures that contain apparatus energized in excess of 600 V and that may be exposed to the public, including but not limited to the following types of equipment enclosures--pad-mounted capacitors or inductors, pad-mounted distribution transformers, pad-mounted junction enclosures, pad-mounted metering equipment, and pad-mounted switch gear--are covered.",,,10.1109/IEEESTD.2005.97747,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1519740,enclosure integrity;pad-mounted equipment;switches;transformers,,,,,0,1,13,,,,Sept. 30 2005,,IEEE,IEEE Standards
IEEE Standard for Pad-Mounted Equipment--Enclosure Integrity for Coastal Environments,,,IEEE Std C57.12.29-2014 (Revision of IEEE Std C57.12.29-2005),20140808,2014,,,1,37,"Conformance tests and requirements for the integrity of above-grade pad-mounted enclosures for application in coastal environments that contain apparatus energized in excess of 600 V and that may be exposed to the public are described. These include, but are not limited to,the following types of equipment enclosures: pad-mounted capacitors or inductors, pad-mounted distribution transformers, pad-mounted junction enclosures, pad-mounted metering equipment, pad-mounted switchgear, and pad-mounted voltage regulators.",,,10.1109/IEEESTD.2014.6874471,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6874471,IEEE C57.12.29(TM);enclosure integrity;pad-mounted equipment;switches;transformers;voltage regulators,Enclosures;IEEE standards;Pad mounted equipment;Switching systems;Transformers;Voltage control,IEEE standards;conformance testing;packaging;power apparatus;power transformers;switchgear;voltage regulators,IEEE Std C57.12.29ŠÜ¢-2014;coastal environments;conformance tests;enclosure integrity;pad-mounted capacitors;pad-mounted distribution transformers;pad-mounted equipment;pad-mounted inductors;pad-mounted junction enclosures;pad-mounted metering equipment;pad-mounted switchgear;pad-mounted voltage regulators,,0,,,,,,Aug. 8 2014,,IEEE,IEEE Standards
IEEE Standard for Pad-Mounted Equipment--Enclosure Integrity,,,IEEE Std C57.12.28-2014 (Revision of IEEE Std C57.12.28-2005),20140714,2014,,,1,34,"Conformance tests and requirements for the integrity of above grade pad-mounted enclosures that contain apparatus energized in excess of 600 volts and that may be exposed to the public including, but not limited to, the following types of equipment enclosures: pad-mounted capacitors or inductors, pad-mounted distribution transformers, pad-mounted junction enclosures, pad-mounted metering equipment, pad-mounted switchgear, and pad-mounted voltage regulators are covered.",,,10.1109/IEEESTD.2014.6855309,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6855309,enclosure integrity;pad-mounted equipment;switches;transformers,Enclosures;Equipment;IEEE standards;Pad mounted equipment;Switches;Transformers,IEEE standards;packaging;power apparatus;power capacitors;power inductors;power transformers;switchgear;voltage regulators,IEEE standard;conformance tests;equipment enclosures;pad-mounted capacitors;pad-mounted distribution transformers;pad-mounted enclosures;pad-mounted equipment;pad-mounted inductors;pad-mounted junction enclosures;pad-mounted metering equipment;pad-mounted switchgear;pad-mounted voltage regulators;voltage 600 V,,0,,,,,,July 15 2014,,IEEE,IEEE Standards
IEEE Standard for Passenger Information System for Rail Transit Vehicles,,,IEEE Std 1477-1998,20020806,1998,,,i,,"Rail transit vehicle passenger information system interfaces with the vehicle's carbody, train crew, control system, power system, and passengers are described in this standard. The physical, logical, and electrical interfaces of the passenger information system for rail transit vehicle systems and subsystems are specified.",,,10.1109/IEEESTD.1998.88829,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=741933,,IEEE standards,IEEE standards,carbody;control system;electrical interfaces;logical interfaces;passenger information system interfaces;physical interfaces;power system;rail transit vehicle;train crew,,0,,4,,,,1998,,IEEE,IEEE Standards
